package_name,observation_time_utc,status,first_seen_utc,last_release_utc,release_count,latest_version,summary,home_page,author,requires_python,yanked_any,classifiers_count,has_description,http_status
aioohttp,2026-05-31T03:04:56.242274+00:00,not_found,,,0,,,,,,False,0,False,404
apilogicserver,2026-05-31T03:04:56.755644+00:00,alive,2021-02-07T00:53:03.237748Z,2026-05-29T16:47:28.853995Z,62,17.0.31,,,,>=3.10,True,11,True,200
arangopipe,2026-05-31T03:04:57.255797+00:00,alive,2019-09-24T00:36:49.038272Z,2022-09-14T22:29:54.072758Z,24,0.0.70.0.2,package for machine learning meta-data management and analysis,https://github.com/arangoml/arangopipe,ArangoDB,,False,3,True,200
asyncio-addon,2026-05-31T03:04:57.755958+00:00,alive,2025-07-04T06:40:12.860189Z,2025-07-05T02:56:35.322090Z,3,0.3.0,Some convenient utilities for asyncio,,,>=3.11,False,4,True,200
bioql,2026-05-31T03:04:58.256038+00:00,alive,2025-09-29T17:11:10.548095Z,2026-01-15T00:08:26.895362Z,63,7.0.1,"Production Quantum Computing for Drug Discovery - FMO-VQE, DC-QAOA, Adaptive QEC, Real Hardware Only",https://bioql.bio,SpectrixRD,>=3.8,False,13,True,200
bitcommit,2026-05-31T03:04:58.756212+00:00,alive,2022-05-11T14:47:19.094214Z,2022-05-11T14:47:20.852776Z,1,0.1.7,No more commenting your code: Use the GPT3-based CodeCommenter,,"Standard Data, Inc.",">=3.9,<4.0",False,3,False,200
c2,2026-05-31T03:04:59.256302+00:00,alive,2022-05-10T03:42:23.468051Z,2022-05-10T19:46:05.249191Z,8,0.1.7,No more commenting your code: Use the GPT3-based CodeCommenter,,"Standard Data, Inc.",">=3.9,<4.0",False,3,False,200
chunqiuwestj-pkg-westj137,2026-05-31T03:04:59.756496+00:00,alive,2023-05-16T10:45:11.139606Z,2023-05-16T10:45:11.139606Z,1,0.3.0,A small example package,https://github.com,qinshutian,>=3.6,False,3,False,200
cick,2026-05-31T03:05:00.256635+00:00,not_found,,,0,,,,,,False,0,False,404
click-extended,2026-05-31T03:05:00.756829+00:00,alive,2025-11-14T11:42:21.781557Z,2026-03-23T19:58:40.661505Z,49,1.4.0,"An extension to Click with additional features like automatic async support, aliasing and a modular decorator system.",,,>=3.10,False,13,True,200
crunchie,2026-05-31T03:05:01.257023+00:00,alive,2023-06-27T10:20:16.462968Z,2023-06-27T10:20:19.048289Z,1,205.0.0,Package that does absolutely nothing,,daneee,,False,0,False,200
